,patient
0,10
1,8
2,6
3,4
4,7
5,6
6,10
7,5
8,4
9,10
10,9
11,8
12,6
13,4
14,5
15,2
16,9
17,2
18,7
19,4
20,9
21,6
22,4
23,9
24,7
25,4
26,4
27,4
28,4
29,8
30,4
31,9
32,2
33,9
34,8
35,6
36,8
37,7
38,10
39,7
40,2
41,4
42,8
43,5
44,2
45,10
46,7
47,10
48,3
49,4
50,2
51,10
52,4
53,2
54,8
55,10
56,4
57,9
58,8
59,6
60,6
61,3
62,3
63,3
64,7
65,7
66,2
67,10
68,6
69,3
70,9
71,2
72,9
73,4
74,2
75,9
76,3
77,6
78,9
79,3
80,6
81,9
82,9
83,1
84,2
85,6
86,2
87,2
88,7
89,5
90,8
91,5
92,6
93,5
94,7
95,9
96,7
97,2
98,2
99,10
100,5
101,4
102,5
103,2
104,9
105,9
106,4
107,5
108,4
109,4
110,3
111,9
112,4
113,1
114,5
115,3
116,5
117,9
118,7
119,2
120,4
121,4
122,4
123,7
124,6
125,5
126,7
127,8
128,6
129,3
130,2
131,3
132,3
133,7
134,7
135,4
136,7
137,2
138,6
139,5
140,8
141,1
142,6
143,1
144,2
145,9
146,6
147,4
148,9
149,1
150,8
151,7
152,4
153,3
154,4
155,8
156,2
157,5
158,4
159,7
160,10
161,2
162,8
163,7
164,1
165,10
166,5
167,3
168,4
169,2
170,4
171,6
172,2
173,3
174,6
175,2
176,10
177,10
178,4
179,7
180,8
181,9
182,5
183,6
184,8
185,9
186,4
187,6
188,6
189,2
190,2
191,5
192,6
193,7
194,8
195,10
196,2
197,4
198,5
199,1
200,9
201,10
202,10
203,10
204,6
205,6
206,8
207,8
208,2
209,2
210,4
211,8
212,5
213,8
214,4
215,3
216,2
217,4
218,9
219,9
220,7
221,9
222,2
223,10
224,10
225,2
226,7
227,4
228,2
229,9
230,10
231,9
232,9
233,8
234,7
235,4
236,10
237,7
238,2
239,4
240,7
241,6
242,4
243,2
244,7
245,7
246,9
247,2
248,4
249,4
250,2
251,6
252,4
253,3
254,3
255,2
256,2
257,6
258,4
259,10
260,4
261,3
262,7
263,6
264,9
265,9
266,3
267,2
268,2
269,3
270,2
271,10
272,9
273,2
274,1
275,5
276,9
277,9
278,4
279,8
280,5
281,9
282,7
283,9
284,4
285,6
286,2
287,8
288,7
289,10
290,6
291,6
292,7
293,4
294,7
295,9
296,3
297,7
298,10
299,4
300,4
301,4
302,4
303,4
304,7
305,6
306,4
307,9
308,6
309,7
310,6
311,7
312,4
313,8
314,10
315,10
316,8
317,9
318,4
319,7
320,7
321,4
322,10
323,4
324,10
325,9
326,10
327,6
328,4
329,9
330,10
331,10
332,1
333,1
334,3
335,4
336,10
337,9
338,3
339,9
340,4
341,4
342,10
343,7
344,2
345,10
346,4
347,4
348,9
349,5
350,10
351,9
352,9
353,5
354,7
355,2
356,8
357,4
358,6
359,9
360,10
361,9
362,1
363,7
364,2
365,3
366,7
367,2
368,4
369,6
370,2
371,4
372,2
373,3
374,5
375,6
376,4
377,2
378,7
379,6
380,10
381,4
382,8
383,8
384,4
385,7
386,7
387,4
388,4
389,10
390,9
391,4
392,9
393,9
394,6
395,7
396,9
397,4
398,8
399,2
400,7
401,9
402,5
403,5
404,10
405,2
406,10
407,4
408,7
409,7
410,7
411,9
412,6
413,7
414,4
415,4
416,5
417,9
418,6
419,2
420,7
421,2
422,10
423,9
424,2
425,2
426,1
427,2
428,2
429,4
430,2
431,1
432,3
433,4
434,4
435,6
436,7
437,4
438,7
439,2
440,2
441,4
442,7
443,2
444,7
445,7
446,4
447,5
448,2
449,9
450,9
451,1
452,9
453,9
454,1
455,7
456,6
457,10
458,10
459,10
460,10
461,4
462,4
463,2
464,10
465,10
466,4
467,8
468,4
469,10
470,4
471,10
472,6
473,4
474,6
475,10
476,9
477,7
478,6
479,8
480,4
481,6
482,3
483,6
484,10
485,7
486,7
487,8
488,2
489,7
490,8
491,5
492,9
493,9
494,4
495,7
496,5
497,9
498,8
499,9
500,9
501,4
502,4
503,2
504,9
505,6
506,2
507,4
508,7
509,6
510,8
511,6
512,5
513,4
514,8
515,6
516,1
517,7
518,1
519,4
520,6
521,4
522,6
523,10
524,4
525,9
526,4
527,2
528,3
529,9
530,2
531,8
532,4
533,6
534,7
535,5
536,6
537,2
538,2
539,6
540,7
541,2
542,6
543,9
544,9
545,6
546,4
547,4
548,2
549,2
550,9
551,1
552,3
553,7
554,4
555,6
556,6
557,6
558,7
559,6
560,7
561,6
562,9
563,10
564,7
565,2
566,6
567,1
568,9
569,5
570,6
571,6
572,4
573,1
574,10
575,7
576,2
577,10
578,9
579,6
580,10
581,2
582,3
583,9
