,tissue
0,3
1,3
2,1
3,3
4,0
5,2
6,2
7,3
8,1
9,1
10,3
11,0
12,1
13,3
14,0
15,1
16,0
17,1
18,3
19,1
20,2
21,3
22,2
23,3
24,0
25,2
26,1
27,1
28,3
29,0
30,1
31,2
32,0
33,2
34,2
35,2
36,1
37,2
38,0
39,2
40,0
41,1
42,3
43,2
44,1
45,2
46,3
47,0
48,3
49,1
50,0
51,3
52,1
53,0
54,0
55,0
56,2
57,1
58,0
59,1
60,3
61,1
62,3
63,0
64,3
65,2
66,0
67,0
68,0
69,1
70,0
71,3
72,2
73,2
74,2
75,2
76,3
77,2
78,1
79,3
80,2
81,2
82,0
83,3
84,2
85,1
86,0
87,2
88,2
89,1
90,2
91,1
92,2
93,3
94,3
95,0
96,3
97,3
98,3
99,1
100,3
101,3
102,0
103,1
104,2
105,0
106,1
107,2
108,0
109,3
110,3
111,3
112,1
113,2
114,2
115,2
116,0
117,2
118,3
119,3
120,1
121,0
122,1
123,0
124,1
125,3
126,2
127,3
128,0
129,2
130,1
131,2
132,2
133,0
134,1
135,1
136,3
137,3
138,0
139,1
140,1
141,2
142,1
143,1
144,3
145,1
146,2
147,3
148,0
149,0
150,3
151,3
152,1
153,3
154,2
155,2
156,3
157,2
158,2
159,0
160,3
161,3
162,3
163,3
164,0
165,0
166,3
167,2
168,2
169,1
170,3
171,2
172,1
173,0
174,0
175,1
176,0
177,3
178,3
179,2
180,0
181,3
182,1
183,2
184,0
185,0
186,2
187,2
188,3
189,2
190,2
191,1
192,1
193,1
194,3
195,0
196,2
197,1
198,1
199,3
200,1
201,0
202,1
203,1
204,3
205,0
206,2
207,2
208,2
209,0
210,3
211,3
212,0
213,3
214,3
215,2
216,2
217,3
218,1
219,1
220,3
221,3
222,0
223,3
224,3
225,2
226,1
227,3
228,3
229,1
230,1
231,2
232,1
233,2
234,2
235,1
236,0
237,3
238,2
239,0
240,1
241,1
242,3
243,0
244,1
245,0
246,2
247,2
248,0
249,3
250,2
251,0
252,0
253,2
254,0
255,0
256,2
257,3
258,2
259,1
260,2
261,1
262,2
263,2
264,3
265,3
266,0
267,0
268,3
269,0
270,2
271,3
272,3
273,1
274,1
275,2
276,2
277,1
278,1
279,2
280,3
281,2
282,2
283,3
284,2
285,1
286,1
287,0
288,0
289,3
290,0
291,0
292,3
293,3
294,0
295,0
296,0
297,0
298,2
299,3
300,3
301,3
302,3
303,1
304,2
305,3
306,1
307,2
308,2
309,0
310,2
311,2
312,2
313,1
314,2
315,3
316,0
317,1
318,0
319,2
320,1
321,1
322,1
323,1
324,2
325,3
326,2
327,2
328,2
329,2
330,1
331,0
332,1
333,3
334,0
335,0
336,2
337,0
338,2
339,3
340,0
341,3
342,0
343,1
344,3
345,1
346,2
347,2
348,1
349,0
350,3
351,0
352,0
353,0
354,1
355,1
356,0
357,2
358,0
359,3
360,2
361,1
362,3
363,0
364,3
365,2
366,0
367,2
368,2
369,2
370,0
371,0
372,0
373,1
374,2
375,1
376,3
377,0
378,3
379,0
380,0
381,1
382,1
383,2
384,3
385,2
386,3
387,2
388,0
389,0
390,0
391,3
392,1
393,3
394,3
395,2
396,2
397,3
398,2
399,3
400,3
401,3
402,1
403,3
404,1
405,2
406,3
407,0
408,3
409,2
410,1
411,1
412,0
413,3
414,3
415,2
416,3
417,1
418,1
419,3
420,1
421,3
422,2
423,3
424,2
425,2
426,3
427,1
428,2
429,1
430,2
431,2
432,2
433,0
434,0
435,2
436,3
437,1
438,1
439,0
440,2
441,1
442,1
443,0
444,2
445,0
446,1
447,3
448,1
449,2
450,1
451,3
452,1
453,1
454,2
455,3
456,3
457,3
458,3
459,0
460,0
461,1
462,1
463,2
464,0
465,1
466,0
467,0
468,1
469,2
470,3
471,0
472,0
473,1
474,3
475,3
476,0
477,0
478,3
479,2
480,0
481,3
482,0
483,0
484,2
485,3
486,0
487,1
488,0
489,1
490,1
491,0
492,0
493,2
494,1
495,0
496,3
497,3
498,2
499,3
500,2
501,0
502,0
503,0
504,2
505,0
506,1
507,0
508,2
509,0
510,3
511,0
512,2
513,1
514,2
515,3
516,0
517,0
518,0
519,3
520,1
521,1
522,0
523,2
524,1
525,0
526,0
527,1
528,1
529,2
530,2
531,1
532,2
533,1
534,2
535,1
536,0
537,2
538,3
539,3
540,2
541,3
542,1
543,1
544,1
545,3
546,2
547,0
548,3
549,3
550,2
551,1
552,3
553,1
554,1
555,0
556,0
557,0
558,0
559,1
560,0
561,1
562,0
563,3
564,2
565,3
566,0
567,3
568,2
569,1
570,0
571,2
572,3
573,2
574,2
575,2
576,0
577,2
578,0
579,0
580,1
581,1
582,0
583,3
584,2
585,3
586,0
587,2
588,2
589,0
590,1
591,0
592,3
593,1
594,3
595,1
596,2
597,0
598,3
599,1
600,1
601,0
602,1
603,3
604,2
605,1
606,3
607,1
608,1
609,0
610,0
611,0
612,3
613,3
614,2
615,0
616,1
617,3
618,2
619,3
620,0
621,2
622,3
623,2
624,1
625,1
626,2
627,0
628,3
629,0
630,0
631,2
632,0
633,2
634,0
635,3
636,0
637,3
638,2
639,1
640,1
641,3
642,2
643,2
644,3
645,1
646,3
647,2
648,3
649,2
650,0
651,3
652,0
653,0
654,3
655,3
656,1
657,1
658,1
659,1
660,3
661,0
662,0
663,0
664,2
665,2
666,0
667,1
668,3
669,1
670,0
671,2
672,0
673,1
674,0
675,2
676,1
677,1
678,3
679,1
680,3
681,3
682,0
683,0
684,1
685,3
686,0
687,1
688,1
689,0
690,0
691,1
692,2
693,1
694,2
695,2
696,1
697,1
698,1
699,0
700,2
701,2
702,0
703,2
704,1
705,1
706,0
707,2
708,1
709,1
710,2
711,3
712,2
713,1
714,3
715,1
716,3
717,1
718,3
719,1
720,2
721,1
722,3
723,0
724,2
725,2
726,2
727,2
728,2
729,3
730,1
731,1
732,0
733,2
734,3
735,0
736,3
737,3
738,1
739,1
740,2
741,2
742,0
743,1
744,1
745,3
746,0
747,2
748,3
749,0
750,1
751,1
752,2
753,1
754,1
755,0
756,2
757,3
758,3
759,1
760,1
761,3
762,2
763,1
764,0
765,3
766,1
767,1
768,3
769,2
770,2
771,3
772,1
773,0
774,0
775,0
776,3
777,2
778,0
779,1
780,2
781,1
782,3
783,1
784,0
785,2
786,3
787,1
788,3
789,3
790,1
791,1
792,0
793,2
794,3
795,2
796,3
797,3
798,3
799,2
800,3
801,3
802,2
803,2
804,1
805,0
806,0
807,1
808,1
809,1
810,0
811,1
812,2
813,0
814,2
815,3
816,1
817,3
818,3
819,3
820,2
821,0
822,1
823,3
824,3
825,1
826,1
827,2
828,1
829,3
830,2
831,0
832,0
833,3
834,0
835,3
836,2
837,1
838,0
839,2
840,1
841,0
842,2
843,1
844,3
845,2
846,2
847,2
848,1
849,3
850,3
851,2
852,0
853,1
854,2
855,0
856,2
857,3
858,0
859,0
860,2
861,1
862,3
863,0
864,1
865,2
866,1
867,2
868,0
869,3
870,2
871,3
872,3
873,3
874,3
875,1
876,1
877,2
878,1
879,1
880,3
881,2
